,text,emb_dict,onset_time,offset_time,tr
1085,I,i,375.63,375.74,253.0
1086,say,say,375.74,375.93,253.0
1087,Uh,uh,375.98,376.13,253.0
1088,uh,uh,376.0,376.0,253.0
1089,but,but,376.67,376.82,254.0
1090,she,she,376.82,376.91,254.0
1091,doesn’t,doesn't,376.91,377.09,254.0
1092,hear,hear,377.09,377.31,254.0
1093,me,me,377.309999,377.609999,254.0
1094,and,and,377.779999,377.889999,254.0
1095,she,she,377.889999,378.029999,254.0
1096,actually,actually,378.029999,378.379999,255.0
1097,says,says,378.39,378.74,255.0
1098,Geronimo,<unk>,378.79,379.56,255.0
1099,and,and,379.58,379.7,256.0
1100,she,she,379.7,379.82,256.0
1101,gives,gives,379.82,379.97,256.0
1102,me,me,379.97,380.09,256.0
1103,a,a,380.09,380.13,256.0
1104,shove,shove,380.13,380.5,256.0
1105,and,and,380.51,380.65,256.0
1106,I’m,i'm,380.65,380.79,256.0
1107,gone,gone,380.79,381.1,256.0
1108,Um,um,382.22,382.69,257.0
1109,and,and,382.7,382.81,258.0
1110,I,i,382.81,382.88,258.0
1111,look,look,382.88,383.05,258.0
1112,up,up,383.05,383.28,258.0
1113,and,and,383.28,383.37,258.0
1114,I,i,383.37,383.44,258.0
1115,just,just,383.46,383.63,258.0
1116,see,see,383.63,383.86,258.0
1117,her,her,383.86,383.99,258.0
1118,terrified,terrified,383.99,384.5,258.0
1119,eyes,eyes,384.52,385.04,259.0
1120,and,and,385.05,385.17,259.0
1121,that’s,that's,385.17,385.3,259.0
1122,when,when,385.3,385.44,259.0
1123,I,i,385.44,385.51,259.0
1124,hear,hear,385.51,385.69,260.0
1125,her,her,385.69,385.85,260.0
1126,say,say,385.85,386.18,260.0
1127,Wait,wait,386.2,386.47,260.0
1128,wait,wait,386.47,386.71,260.0
1129,your,your,386.71,386.87,260.0
1130,chute,<unk>,386.88,387.35,260.0
1131,It’s,it's,387.46,388.05,261.0
1132,And,and,390.0,390.21,263.0
1133,really,really,390.21,390.55,263.0
1134,like,like,390.57,390.74,263.0
1135,the,the,390.75,390.86,263.0
1136,pathetic,pathetic,390.86,391.58,263.0
1137,inadequacy,inadequacy,391.63,392.5,264.0
1138,of,of,392.509999,392.639999,264.0
1139,a,a,392.639999,392.679999,264.0
1140,two,two,392.679999,392.969999,264.0
1141,hour,hour,392.969999,393.209999,264.0
1142,skydiving,skydiving,393.219999,394.059999,265.0
1143,lesson,lesson,394.059999,394.579999,265.0
1144,hits,hits,394.639999,394.989999,266.0
1145,home,home,394.99,395.44,266.0
1146,right,right,395.609999,395.889999,266.0
1147,then,then,395.889999,396.089999,266.0
1148,I,i,398.66,398.74,268.0
1149,mean,mean,398.74,398.92,268.0
1150,it,it,398.92,398.99,268.0
1151,took,took,398.99,399.19,268.0
1152,me,me,399.19,399.31,269.0
1153,longer,longer,399.31,399.63,269.0
1154,than,than,399.63,399.76,269.0
1155,that,that,399.76,399.96,269.0
1156,to,to,399.96,400.06,269.0
1157,learn,learn,400.06,400.3,269.0
1158,how,how,400.3,400.42,269.0
1159,to,to,400.42,400.5,269.0
1160,knit,knit,400.5,400.88,270.0
1161,So,so,404.16,404.32,272.0
1162,I’m,i'm,404.32,404.44,272.0
1163,heading,heading,404.44,404.66,272.0
1164,for,for,404.66,404.74,272.0
1165,the,the,404.74,404.84,272.0
1166,powerlines,<unk>,404.84,405.41,272.0
1167,uh,uh,405.46,405.67,273.0
1168,down,down,405.7,405.92,273.0
1169,below,below,405.92,406.14,273.0
1170,me,me,406.139999,406.339999,273.0
1171,and,and,406.34,406.38,273.0
1172,like,like,406.45,406.59,273.0
1173,reflexing,<unk>,406.59,407.52,274.0
1174,you,you,407.53,407.66,274.0
1175,know,know,407.66,407.81,274.0
1176,just,just,407.809999,407.989999,274.0
1177,reflexively,<unk>,407.99,408.41,274.0
1178,kind,kind,408.53,408.67,275.0
1179,of,of,408.67,408.71,275.0
1180,squeezing,squeezing,408.75,409.14,275.0
1181,my,my,409.139999,409.249999,275.0
1182,legs,legs,409.25,409.67,275.0
1183,uh,uh,409.73,409.89,276.0
1184,together,together,409.929999,410.309999,276.0
1185,so,so,410.309999,410.409999,276.0
1186,that,that,410.41,410.53,276.0
1187,I,i,410.53,410.58,276.0
1188,won’t,won't,410.58,410.79,276.0
1189,die,die,410.799999,411.149999,276.0
1190,you,you,411.15,411.26,277.0
1191,know,know,411.259999,411.369999,277.0
1192,sliced,sliced,411.37,411.85,277.0
1193,up,up,411.849999,411.969999,277.0
1194,the,the,411.969999,412.069999,277.0
1195,middle,middle,412.07,412.38,277.0
1196,like,like,413.1,413.26,278.0
1197,a,a,413.26,413.34,278.0
1198,couple,couple,413.34,413.66,278.0
1199,of,of,413.66,413.8,278.0
1200,flounder,flounder,414.109999,414.779999,279.0
1201,fillets,fillets,415.199999,415.599999,279.0
1202,And,and,416.6,416.85,280.0
1203,I’m,i'm,416.85,417.0,280.0
1204,just,just,417.0,417.23,281.0
1205,like,like,417.23,417.44,281.0
1206,praying,praying,417.45,418.2,281.0
1207,my,my,418.2,418.33,281.0
1208,life,life,418.33,418.63,281.0
1209,doesn’t,doesn't,418.63,418.9,282.0
1210,flash,flash,418.9,419.23,282.0
1211,before,before,419.23,419.56,282.0
1212,my,my,419.56,419.76,282.0
1213,eyes,eyes,419.76,420.44,282.0
1214,and,and,420.51,420.7,283.0
1215,ruin,ruin,420.7,420.91,283.0
1216,the,the,420.91,421.01,283.0
1217,last,last,421.01,421.28,283.0
1218,couple,couple,421.28,421.56,283.0
1219,of,of,421.56,421.58,284.0
1220,minutes,minutes,421.59,421.97,284.0
1221,I,i,421.97,422.08,284.0
1222,have,have,422.09,422.66,284.0
1223,when,when,433.57,433.82,292.0
1224,suddenly,suddenly,433.82,434.37,292.0
1225,I,i,434.4,434.56,292.0
1226,feel,feel,434.56,434.96,292.0
1227,a,a,434.96,435.08,292.0
1228,jolt,jolt,435.15,435.6,293.0
1229,and,and,435.66,435.81,293.0
1230,I’m,i'm,435.81,435.93,293.0
1231,yanked,yanked,436.01,436.49,293.0
1232,around,around,436.49,437.32,293.0
1233,and,and,437.45,437.84,294.0
1234,this,this,437.84,438.08,294.0
1235,big,big,438.08,438.66,295.0
1236,white,white,438.71,439.1,295.0
1237,fluffy,fluffy,439.4,439.96,295.0
1238,beautiful,beautiful,439.96,440.45,296.0
1239,canopy,canopy,440.45,441.12,296.0
1240,opens,opens,441.29,441.79,297.0
1241,above,above,441.84,442.15,297.0
1242,me,me,442.15,442.39,297.0
1243,and,and,442.73,442.89,298.0
1244,I’m,i'm,442.889999,443.059999,298.0
1245,floating,floating,443.059999,443.709999,298.0
1246,to,to,443.719999,443.829999,298.0
1247,earth,earth,443.83,444.15,298.0
1248,in,in,444.2,444.45,299.0
1249,dead,dead,444.45,444.74,299.0
1250,silence,silence,444.74,445.26,299.0
1251,It,it,445.27,445.29,299.0
1252,is,is,445.309999,445.519999,299.0
1253,really,really,445.52,445.86,300.0
1254,quiet,quiet,445.86,446.41,300.0
1255,So,so,446.82,446.98,300.0
1256,I,i,446.98,447.07,300.0
1257,can,can,447.07,447.31,301.0
1258,really,really,447.32,447.96,301.0
1259,hear,hear,447.96,448.26,301.0
1260,my,my,448.26,448.42,301.0
1261,heart,heart,448.43,448.74,301.0
1262,pounding,pounding,449.33,449.67,302.0
1263,When,when,451.84,451.97,304.0
1264,I,i,451.97,452.03,304.0
1265,get,get,452.03,452.14,304.0
1266,down,down,452.16,452.72,304.0
1267,and,and,452.8,452.96,304.0
1268,I,i,452.96,453.01,304.0
1269,drag,drag,453.01,453.28,305.0
1270,all,all,453.28,453.42,305.0
1271,my,my,453.42,453.64,305.0
1272,my,my,453.67,453.88,305.0
1273,gear,gear,453.89,454.37,305.0
1274,you,you,454.37,454.51,305.0
1275,know,know,454.4,454.4,305.0
1276,the,the,454.5,454.5,306.0
1277,helmet,helmet,454.6,454.6,306.0
1278,and,and,454.7,454.7,306.0
1279,the,the,454.99,455.1,306.0
1280,straps,straps,455.1,455.45,306.0
1281,and,and,455.45,455.49,306.0
1282,the,the,455.5,455.5,306.0
1283,chute,chute,455.6,455.6,306.0
1284,you,you,455.66,455.85,306.0
1285,know,know,455.97,456.05,306.0
1286,through,through,456.05,456.23,307.0
1287,this,this,456.1,456.1,307.0
1288,the,the,456.84,457.11,307.0
1289,onion,onion,457.14,457.52,307.0
1290,field,field,457.52,458.11,308.0
1291,back,back,458.19,458.46,308.0
1292,over,over,458.46,458.63,308.0
1293,to,to,458.63,458.74,308.0
1294,the,the,458.74,458.87,308.0
1295,office,office,458.87,459.44,308.0
1296,Annette,annette,460.28,460.57,309.0
1297,is,is,460.59,460.72,310.0
1298,already,already,460.719999,460.909999,310.0
1299,there,there,460.91,461.06,310.0
1300,waiting,waiting,461.059999,461.329999,310.0
1301,for,for,461.33,461.51,310.0
1302,me,me,461.509999,461.579999,310.0
1303,and,and,461.58,461.63,310.0
1304,she’s,she's,461.63,461.74,310.0
1305,holding,holding,461.74,461.97,310.0
1306,this,this,461.969999,462.089999,310.0
1307,plastic,plastic,462.099999,462.449999,311.0
1308,cup,cup,462.46,462.61,311.0
1309,with,with,462.61,462.68,311.0
1310,the,the,462.679999,462.779999,311.0
1311,complimentary,complimentary,462.78,463.4,311.0
1312,sparkling,sparkling,463.4,463.86,311.0
1313,wine,wine,463.87,464.21,312.0
1314,they,they,464.21,464.32,312.0
1315,talked,talked,464.32,464.6,312.0
1316,about,about,464.599999,464.929999,312.0
1317,in,in,465.519999,465.619999,313.0
1318,the,the,465.79,465.92,313.0
1319,brochure,brochure,466.15,466.78,313.0
1320,and,and,466.799999,466.949999,314.0
1321,she's,she's,466.949999,467.189999,314.0
1322,just,just,467.190001,467.420001,314.0
1323,beaming,beaming,467.559999,468.339999,314.0
1324,And,and,468.91,469.25,315.0
1325,I,i,469.25,469.3,315.0
1326,walk,walk,469.3,469.53,315.0
1327,up,up,469.54,469.66,316.0
1328,to,to,469.66,469.77,316.0
1329,her,her,469.77,469.97,316.0
1330,and,and,469.98,470.06,316.0
1331,I,i,470.06,470.13,316.0
1332,say,say,470.13,470.32,316.0
1333,What,what,470.43,470.73,316.0
1334,the,the,470.75,470.96,316.0
1335,fuck,fuck,470.97,471.82,316.0
1336,you,you,474.03,474.16,319.0
1337,know,know,474.16,474.34,319.0
1338,was,was,474.38,474.61,319.0
1339,that,that,474.64,475.34,319.0
1340,And,and,476.87,477.06,320.0
1341,she,she,477.059999,477.219999,321.0
1342,giggles,giggles,477.22,477.82,321.0
1343,and,and,478.24,478.62,321.0
1344,she,she,478.67,478.83,322.0
1345,says,says,478.83,479.03,322.0
1346,You,you,479.33,479.46,322.0
1347,know,know,479.46,479.76,322.0
1348,you,you,479.809999,479.979999,322.0
1349,seemed,seemed,479.98,480.27,322.0
1350,like,like,480.27,480.39,323.0
1351,a,a,480.389999,480.439999,323.0
1352,cool,cool,480.44,480.77,323.0
1353,guy,guy,480.77,481.27,323.0
1354,so,so,482.059999,482.549999,324.0
1355,I,i,482.58,482.66,324.0
1356,wanted,wanted,482.66,482.92,324.0
1357,you,you,482.92,483.06,324.0
1358,to,to,483.0,483.0,325.0
1359,have,have,483.07,483.24,325.0
1360,a,a,483.24,483.31,325.0
1361,really,really,483.309999,483.579999,325.0
1362,awesome,awesome,483.62,484.18,325.0
1363,jump,jump,484.18,484.68,325.0
1364,So,so,486.16,486.51,327.0
1365,the,the,486.52,486.68,327.0
1366,little,little,486.68,487.25,327.0
1367,parachute,parachute,487.56,488.11,328.0
1368,malfunction,malfunction,488.12,488.93,328.0
1369,thing,thing,488.94,489.39,328.0
1370,was,was,489.49,489.67,329.0
1371,to,to,489.67,489.79,329.0
1372,spike,spike,489.79,490.14,329.0
1373,your,your,490.14,490.27,329.0
1374,adrenaline,adrenaline,490.27,490.84,329.0
1375,at,at,490.85,490.89,330.0
1376,the,the,490.9,491.04,330.0
1377,last,last,491.04,491.36,330.0
1378,minute,minute,491.36,491.62,330.0
1379,That’s,that's,495.65,495.99,333.0
1380,what,what,495.99,496.17,333.0
1381,I,i,496.17,496.33,333.0
1382,said,said,496.349999,496.729999,333.0
1383,And,and,499.24,499.45,335.0
1384,so,so,499.45,499.6,335.0
1385,I’m,i'm,499.599999,499.789999,336.0
1386,like,like,499.79,499.99,336.0
1387,staring,staring,500.24,500.79,336.0
1388,at,at,500.79,501.08,336.0
1389,her,her,501.08,501.22,337.0
1390,trying,trying,501.219999,501.559999,337.0
1391,to,to,501.559999,501.659999,337.0
1392,think,think,501.67,501.93,337.0
1393,of,of,501.929999,502.079999,337.0
1394,some,some,502.08,502.43,337.0
1395,language,language,502.43,503.06,337.0
1396,this,this,503.08,503.3,338.0
1397,chick,chick,503.299999,503.669999,338.0
1398,might,might,503.67,503.96,338.0
1399,you,you,503.959999,504.059999,338.0
1400,know,know,504.059999,504.179999,339.0
1401,understand,understand,504.18,505.04,339.0
1402,Um,um,505.66,506.37,340.0
1403,you,you,506.42,506.55,340.0
1404,know,know,506.55,506.88,340.0
1405,do,do,506.88,507.0,340.0
1406,you,you,507.0,507.09,341.0
1407,have,have,507.09,507.23,341.0
1408,any,any,507.23,507.36,341.0
1409,idea,idea,507.36,507.57,341.0
1410,how,how,507.57,507.72,341.0
1411,how,how,507.78,507.93,341.0
1412,dangerous,dangerous,507.94,508.57,341.0
1413,how,how,508.57,508.69,342.0
1414,terrifying,terrifying,508.69,509.3,342.0
1415,how,how,509.3,509.44,342.0
1416,illegal,illegal,509.44,509.99,342.0
1417,that,that,509.99,510.2,342.0
1418,probably,probably,510.2,510.72,343.0
1419,was,was,510.72,511.43,343.0
1420,And,and,512.27,512.59,344.0
1421,she,she,512.59,512.68,344.0
1422,says,says,512.679999,512.749999,344.0
1423,Wait,wait,512.92,513.17,344.0
1424,wait,wait,513.17,513.41,345.0
1425,hey,hey,513.41,513.66,345.0
1426,you,you,513.67,513.87,345.0
1427,did,did,513.87,514.13,345.0
1428,it,it,514.13,514.3,345.0
1429,right,right,514.3,514.73,345.0
1430,Before,before,515.2,515.51,346.0
1431,it’s,it's,515.509999,515.659999,346.0
1432,too,too,515.66,515.89,346.0
1433,late,late,515.889999,516.389999,346.0
1434,By,by,520.27,520.45,349.0
1435,which,which,520.449999,520.749999,349.0
1436,she,she,520.76,520.98,350.0
1437,meant,meant,520.98,521.28,350.0
1438,at,at,521.33,521.53,350.0
1439,your,your,521.529999,521.769999,350.0
1440,age,age,521.77,522.59,350.0
1441,So,so,523.47,523.75,351.0
1442,I’m,i'm,523.75,523.89,352.0
1443,trying,trying,523.89,524.09,352.0
1444,to,to,524.09,524.26,352.0
1445,think,think,524.27,524.59,352.0
1446,you,you,524.6,524.72,352.0
1447,know,know,524.72,524.84,352.0
1448,am,am,524.84,524.95,352.0
1449,I,i,524.95,525.03,352.0
1450,going,going,525.03,525.13,353.0
1451,to,to,525.13,525.21,353.0
1452,do,do,525.21,525.39,353.0
1453,this,this,525.39,525.6,353.0
1454,with,with,525.6,525.75,353.0
1455,a,a,525.75,525.81,353.0
1456,knife,knife,525.82,526.2,353.0
1457,or,or,526.2,526.3,353.0
1458,just,just,526.3,526.51,353.0
1459,strangle,strangle,526.51,527.14,354.0
1460,her,her,527.14,527.75,354.0
1461,or,or,528.12,528.27,355.0
1462,beat,beat,528.49,528.73,355.0
1463,her,her,528.73,528.83,355.0
1464,to,to,528.83,529.0,355.0
1465,death,death,529.0,529.74,355.0
1466,when,when,530.44,530.87,356.0
1467,my,my,531.22,531.42,357.0
1468,heart,heart,531.42,531.84,357.0
1469,starts,starts,532.05,532.5,357.0
1470,kind,kind,532.51,532.74,358.0
1471,of,of,532.74,532.88,358.0
1472,slowing,slowing,532.88,533.5,358.0
1473,down,down,533.559999,534.139999,358.0
1474,And,and,534.41,535.12,359.0
1475,what,what,535.13,535.32,359.0
1476,I,i,535.32,535.37,359.0
1477,just,just,535.37,535.56,359.0
1478,did,did,535.559999,535.779999,360.0
1479,sort,sort,535.78,536.03,360.0
1480,of,of,536.03,536.14,360.0
1481,starts,starts,536.139999,536.399999,360.0
1482,sinking,sinking,536.4,536.83,360.0
1483,in,in,536.83,536.99,360.0
1484,you,you,537.0,537.1,361.0
1485,know,know,537.099999,537.209999,361.0
1486,I,i,537.219999,537.319999,361.0
1487,just,just,537.32,537.56,361.0
1488,like,like,537.559999,537.709999,361.0
1489,fell,fell,537.71,537.94,361.0
1490,out,out,537.94,538.16,361.0
1491,a,a,538.24,538.35,361.0
1492,mile,mile,538.35,539.0,361.0
1493,out,out,539.029999,539.169999,362.0
1494,of,of,539.17,539.3,362.0
1495,the,the,539.299999,539.379999,362.0
1496,sky,sky,539.379999,539.759999,362.0
1497,on,on,539.98,540.16,362.0
1498,purpose,purpose,540.199999,540.809999,363.0
1499,and,and,541.199999,541.249999,363.0
1500,without,without,541.26,541.58,363.0
1501,a,a,541.58,541.65,364.0
1502,chute,<unk>,541.65,541.91,364.0
1503,for,for,541.93,542.07,364.0
1504,most,most,542.07,542.31,364.0
1505,of,of,542.31,542.37,364.0
1506,it,it,542.37,542.45,364.0
1507,as,as,542.45,542.53,364.0
1508,far,far,542.53,542.69,364.0
1509,as,as,542.69,542.78,364.0
1510,I’m,i'm,542.78,542.95,364.0
1511,concerned,concerned,542.95,543.41,364.0
1512,And,and,543.72,543.85,365.0
1513,I,i,543.85,543.92,365.0
1514,I,i,544.35,544.48,365.0
1515,dropped,dropped,544.48,545.03,365.0
1516,and,and,545.15,545.33,366.0
1517,I,i,545.33,545.44,366.0
1518,rolled,rolled,545.44,546.03,366.0
1519,and,and,546.05,546.18,367.0
1520,I,i,546.18,546.24,367.0
1521,survived,survived,546.24,547.21,367.0
1522,Um,um,547.66,548.07,368.0
1523,and,and,547.7,547.7,368.0
1524,I,I,547.8,547.8,368.0
1525,think,think,547.9,547.9,368.0
1526,about,about,548.0,548.0,368.0
1527,the,the,548.48,548.54,368.0
1528,little,little,548.54,548.72,368.0
1529,joke,joke,548.72,549.03,368.0
1530,that,that,549.04,549.18,369.0
1531,she,she,549.179999,549.299999,369.0
1532,told,told,549.3,549.53,369.0
1533,me,me,549.53,549.67,369.0
1534,earlier,earlier,549.67,550.09,369.0
1535,how,how,550.09,550.24,369.0
1536,it’s,it's,550.24,550.42,369.0
1537,not,not,550.42,550.6,369.0
1538,the,the,550.599999,550.679999,370.0
1539,fall,fall,550.679999,550.959999,370.0
1540,that,that,550.969999,551.119999,370.0
1541,gets,gets,551.12,551.33,370.0
1542,you,you,551.33,551.45,370.0
1543,it’s,it's,551.45,551.51,370.0
1544,the,the,551.509999,551.609999,370.0
1545,sudden,sudden,551.61,551.91,370.0
1546,stop,stop,551.91,552.3,370.0
1547,And,and,552.309999,552.429999,371.0
1548,I,i,552.429999,552.509999,371.0
1549,think,think,552.52,552.63,371.0
1550,you,you,552.639999,552.759999,371.0
1551,know,know,552.759999,552.989999,371.0
1552,maybe,maybe,553.38,553.64,371.0
1553,she’s,she's,553.639999,553.829999,372.0
1554,right,right,553.83,554.17,372.0
1555,I’m,i'm,554.5,554.68,372.0
1556,not,not,554.679999,554.819999,372.0
1557,going,going,554.82,554.93,372.0
1558,to,to,554.929999,554.999999,372.0
1559,stop,stop,555.0,555.33,373.0
1560,that’s,that's,555.349999,555.579999,373.0
1561,what,what,555.58,555.69,373.0
1562,kills,kills,555.69,555.97,373.0
1563,you,you,555.969999,556.199999,373.0
1564,And,and,556.99,557.16,374.0
1565,so,so,557.16,557.43,374.0
1566,I,i,557.43,557.7,374.0
1567,lock,lock,557.779999,558.239999,374.0
1568,eyes,eyes,558.24,558.5,375.0
1569,with,with,558.51,558.66,375.0
1570,her,her,558.67,559.01,375.0
1571,and,and,559.03,559.13,375.0
1572,I,i,559.13,559.23,375.0
1573,glare,glare,559.28,559.7,375.0
1574,at,at,559.7,559.87,376.0
1575,her,her,559.87,560.25,376.0
1576,and,and,560.47,560.51,376.0
1577,I,i,560.59,560.66,376.0
1578,hope,hope,560.66,560.92,376.0
1579,I’m,i'm,560.92,561.06,376.0
1580,cute,cute,561.06,561.31,377.0
1581,when,when,561.39,561.55,377.0
1582,I’m,i'm,561.55,561.65,377.0
1583,angry,angry,561.65,562.23,377.0
1584,and,and,564.28,564.41,379.0
1585,I,i,564.41,564.48,379.0
1586,sign,sign,564.48,564.74,379.0
1587,up,up,564.74,564.92,379.0
1588,for,for,565.2,565.3,379.0
1589,another,another,565.3,565.54,379.0
1590,lesson,lesson,565.54,565.89,380.0
1591,And,and,568.61,568.74,382.0
1592,I,i,568.74,568.82,382.0
1593,drive,drive,568.83,569.12,382.0
1594,home,home,569.12,569.34,382.0
1595,with,with,569.349999,569.419999,382.0
1596,the,the,569.42,569.47,382.0
1597,top,top,569.469999,569.749999,382.0
1598,down,down,569.789999,570.119999,382.0
1599,Thank,thank,571.139999,571.379999,383.0
1600,you,you,571.379999,571.419999,383.0
